query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,G1,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置非常便利，靠近Honda Center和Anaheim体育场。,1,1,2,
q006,G1,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,酒店非常干净。,1,1,2,
q006,G1,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,G1,bd1ba974bf11,cleanliness,877849bcb709f0bd_s000,酒店表现不错。,1,1,1,
q006,G1,bd1ba974bf11,cleanliness,588d98086599b735_s005,房间非常宽敞。,1,1,1,
q011,G1,79c2d98fa1cb,service,9506495343631d63_s008,酒店干净且非常欢迎客人。,1,1,1,
q016,G1,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s001,房间舒适且干净，套房布局宜人。,1,1,1,
q016,G1,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,套房设计良好，整体体验愉快。,1,1,2,
q016,G1,85a18ed72b1c,room_facilities,a3078932f59ed732_s003,房间设施充足，酒店整体环境不错。,1,1,1,
q016,G1,85a18ed72b1c,room_facilities,359df474d75da2a1_s010,提供多种便利设施。,1,1,2,
q026,G1,75334fbbe64c,value,bfadf45508eb134c_s000,价格非常合适，性价比高。,1,1,2,
q031,G1,e0eeae8afde3,location_transport,260ed33340e4cf63_s005,位置极佳，公园易于到达。,1,1,2,
q031,G1,e0eeae8afde3,location_transport,a5c2f145aa7bec68_s006,位置非常棒。,1,1,2,
q031,G1,98bd44439ff5,location_transport,678cdefb30f1f0cc_s004,位置非常方便。,1,1,2,
q031,G1,98bd44439ff5,location_transport,53933b6bd4c89715_s000,适合度假或商务的好位置。,1,1,2,
q036,G1,4ba7bdc9b246,cleanliness,be90326d3c9cf0f5_s004,房间干净舒适，设施更新。,1,1,2,
q036,G1,4ba7bdc9b246,cleanliness,89361c22dccb7e08_s001,房间宽敞且干净。,1,1,2,
q036,G1,b115571efdc5,cleanliness,f5a81a218e76d5a6_s001,房间干净，适合家庭入住。,1,1,2,
q036,G1,b115571efdc5,cleanliness,c413e1a9f199709c_s003,房间近期翻新且干净。,1,1,2,
q041,G1,f6c6d40a783b,service,6120714af161e9a5_s006,酒店位置极佳，值得再次入住。,1,1,1,
q041,G1,f6c6d40a783b,service,3a43662a5a226428_s000,酒店非常舒适。,1,1,1,
q041,G1,ad12fec3ad85,service,3abf841092d7fb3f_s002,员工超级随和友好。,1,1,2,
q041,G1,ad12fec3ad85,service,ca2831c580de6451_s000,客户服务非常出色。,1,1,1,
q046,G1,75fef46b9663,room_facilities,70104a60ccc20263_s002,房间舒适，床品也很舒服。,1,1,2,
q046,G1,75fef46b9663,room_facilities,2b6adb981b20c299_s000,整体是最佳的西雅图酒店体验。,1,1,1,
q046,G1,5ac72eb101c1,room_facilities,773410cb8381abf1_s029,房间宽敞舒适。,1,1,2,
q046,G1,5ac72eb101c1,room_facilities,06e98a924068cb93_s003,房间大小合适、干净且床舒适。,1,1,1,
q002,G1,bfb10d66f821,cleanliness,863cfddad0477974_s007,房间宽敞且干净，酒店本身整洁舒适。,1,1,2,
q002,G1,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置便利，靠近Honda Center、Anaheim体育场及餐厅。,1,1,2,
q007,G1,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,酒店非常干净，房间舒适卫生。,1,1,2,
q007,G1,72a9d2fbc96c,service,a41988dc4f9a96ef_s000,地理位置优越，整体体验极佳。,1,1,1,
q007,G1,bd1ba974bf11,cleanliness,540633ecaaddf7cb_s003,房间宽敞舒适，整体不错。,1,1,1,
